id,customerID,employeeID,orderDate,paymentMethod,status,trackingNumber
CA-2011-100006,DK-13375,17,7/9/2011,Cash,delivered,0023-10000
CA-2011-100090,EB-13705,5,8/7/2011,Debit Card,delivered,0046-10001
CA-2011-100293,NF-18475,5,14/3/2011,Debit Card,delivered,0069-10002
CA-2011-100328,JC-15340,18,29/1/2011,Cash,delivered,0092-10003
CA-2011-100363,JM-15655,15,8/4/2011,Stripe,delivered,0115-10004
CA-2011-100391,BW-11065,10,25/5/2011,Credit Card,delivered,0138-10005
CA-2011-100678,KM-16720,5,18/4/2011,PayPal,delivered,0161-10006
CA-2011-100706,LE-16810,25,16/12/2011,Credit Card,delivered,0184-10007
CA-2011-100762,NG-18355,16,24/11/2011,Credit Card,delivered,0207-10008
CA-2011-100860,CS-12505,23,26/3/2011,PayPal,delivered,0230-10009
CA-2011-100867,EH-14125,4,19/10/2011,Debit Card,delivered,0253-10010
CA-2011-100881,DR-12940,16,28/3/2011,Debit Card,delivered,0276-10011
CA-2011-100895,SV-20785,8,2/6/2011,Debit Card,delivered,0299-10012
CA-2011-100916,FH-14275,23,21/10/2011,Credit Card,delivered,0322-10013
CA-2011-100972,DB-13360,13,19/11/2011,PayPal,delivered,0345-10014
CA-2011-101147,MC-17575,14,2/12/2011,Cash,delivered,0368-10015
CA-2011-101175,DM-12955,15,9/12/2011,Debit Card,delivered,0391-10016
CA-2011-101266,MM-17920,4,27/8/2011,PayPal,delivered,0414-10017
CA-2011-101364,TW-21025,15,22/12/2011,Credit Card,delivered,0437-10018
CA-2011-101392,AS-10630,5,7/12/2011,Cash,delivered,0460-10019
CA-2011-101427,AY-10555,12,26/12/2011,Stripe,delivered,0483-10020
CA-2011-101462,BP-11230,12,20/4/2011,Debit Card,delivered,0506-10021
CA-2011-101476,SD-20485,20,12/9/2011,Cash,delivered,0529-10022
CA-2011-101560,CS-12250,20,28/11/2011,PayPal,delivered,0552-10023
CA-2011-101602,MC-18100,13,15/12/2011,Debit Card,delivered,0575-10024
CA-2011-101770,KB-16240,11,31/3/2011,PayPal,delivered,0598-10025
CA-2011-101833,FG-14260,6,17/11/2011,PayPal,delivered,0621-10026
CA-2011-101931,TS-21370,23,28/10/2011,Debit Card,delivered,0644-10027
CA-2011-102008,RA-19915,21,30/9/2011,Credit Card,delivered,0667-10028
CA-2011-102085,JD-16015,7,4/10/2011,Cash,delivered,0690-10029
CA-2011-102274,DH-13075,12,21/11/2011,Credit Card,delivered,0713-10030
CA-2011-102295,EH-13990,8,24/11/2011,PayPal,delivered,0736-10031
CA-2011-102330,AI-10855,2,29/12/2011,PayPal,delivered,0759-10032
CA-2011-102645,IM-15055,25,24/1/2011,Cash,delivered,0782-10033
CA-2011-102652,AY-10555,22,6/4/2011,PayPal,delivered,0805-10034
CA-2011-102673,KH-16630,17,1/11/2011,PayPal,delivered,0828-10035
CA-2011-102869,LC-17140,23,9/9/2011,Cash,delivered,0851-10036
CA-2011-102988,GM-14695,10,5/4/2011,Stripe,delivered,0874-10037
CA-2011-103058,AG-10270,12,23/7/2011,Debit Card,delivered,0897-10038
CA-2011-103086,EB-14170,11,17/10/2011,Cash,delivered,0920-10039
CA-2011-103100,AB-10105,7,20/12/2011,PayPal,delivered,0943-10040
CA-2011-103191,VG-21805,10,22/9/2011,PayPal,delivered,0966-10041
CA-2011-103219,BF-11215,18,9/11/2011,Cash,delivered,0989-10042
CA-2011-103310,GM-14680,24,10/5/2011,PayPal,delivered,0012-10043
CA-2011-103317,DM-13525,15,5/7/2011,Debit Card,delivered,0035-10044
CA-2011-103331,KB-16315,25,26/8/2011,Credit Card,delivered,0058-10045
CA-2011-103366,EH-13990,20,16/1/2011,Debit Card,delivered,0081-10046
CA-2011-103373,BS-11755,4,18/5/2011,Cash,delivered,0104-10047
CA-2011-103401,GR-14560,9,21/11/2011,Debit Card,delivered,0127-10048
CA-2011-103429,LW-16825,1,30/5/2011,Credit Card,delivered,0150-10049
CA-2011-103492,CM-12715,16,10/10/2011,PayPal,delivered,0173-10050
CA-2011-103527,CC-12220,9,9/9/2011,Cash,delivered,0196-10051
CA-2011-103590,JL-15505,15,30/11/2011,Cash,delivered,0219-10052
CA-2011-103660,MW-18220,20,25/8/2011,Debit Card,delivered,0242-10053
CA-2011-103702,AF-10885,8,12/9/2011,Credit Card,delivered,0265-10054
CA-2011-103744,MG-17875,10,24/2/2011,Stripe,delivered,0288-10055
CA-2011-103800,DP-13000,14,4/1/2011,Cash,delivered,0311-10056
CA-2011-103807,EM-13825,25,2/12/2011,Debit Card,delivered,0334-10057
CA-2011-103849,PG-18895,20,11/5/2011,Cash,delivered,0357-10058
CA-2011-103940,BN-11515,23,17/9/2011,Credit Card,delivered,0380-10059
CA-2011-103989,MC-17605,13,19/3/2011,Debit Card,delivered,0403-10060
CA-2011-104178,JM-15265,2,25/8/2011,Stripe,delivered,0426-10061
CA-2011-104269,DB-13060,24,1/3/2011,Stripe,delivered,0449-10062
CA-2011-104283,LM-17065,21,27/6/2011,Cash,delivered,0472-10063
CA-2011-104402,DB-13660,23,17/6/2011,Cash,delivered,0495-10064
CA-2011-104472,CK-12325,6,2/6/2011,Cash,delivered,0518-10065
CA-2011-104563,CM-12715,3,7/3/2011,Credit Card,delivered,0541-10066
CA-2011-104738,SP-20620,14,30/12/2011,Credit Card,delivered,0564-10067
CA-2011-104773,TB-21175,13,8/12/2011,Credit Card,delivered,0587-10068
CA-2011-104780,BT-11530,25,21/5/2011,Debit Card,delivered,0610-10069
CA-2011-104808,MH-17440,19,5/2/2011,Debit Card,delivered,0633-10070
CA-2011-104829,JG-15805,9,18/11/2011,Cash,delivered,0656-10071
CA-2011-104976,CK-12760,14,9/12/2011,Debit Card,delivered,0679-10072
CA-2011-105165,SZ-20035,21,7/9/2011,Cash,delivered,0702-10073
CA-2011-105172,PK-18910,2,4/4/2011,Debit Card,delivered,0725-10074
CA-2011-105249,DH-13675,12,28/11/2011,Stripe,delivered,0748-10075
CA-2011-105270,AP-10915,12,11/11/2011,Debit Card,delivered,0771-10076
CA-2011-105340,EH-14185,8,22/11/2011,Cash,delivered,0794-10077
CA-2011-105417,VS-21820,7,8/1/2011,PayPal,delivered,0817-10078
CA-2011-105648,EJ-14155,11,3/3/2011,Stripe,delivered,0840-10079
CA-2011-105872,JG-15160,15,30/5/2011,Debit Card,delivered,0863-10080
CA-2011-105893,PK-19075,22,11/11/2011,Cash,delivered,0886-10081
CA-2011-105984,MY-18295,6,24/11/2011,Credit Card,delivered,0909-10082
CA-2011-106054,JO-15145,10,7/1/2011,Debit Card,delivered,0932-10083
