"id","name","price","categoryID","stockCount","lastSold","cost"
"FUR-BO-10000112","Bush Birmingham Collection Bookcase, Dark Cherry",130.98,1,103,"2014-09-05",77.2782
"FUR-BO-10000330","Sauder Camden County Barrister Bookcase, Planked Cherry Finish",120.98,1,52,"2014-05-31",91.7028
"FUR-BO-10000362","Sauder Inglewood Library Bookcases",170.98,1,144,"2013-06-05",118.8922
"FUR-BO-10000468","O'Sullivan 2-Shelf Heavy-Duty Bookcases",48.58,1,166,"2014-12-20",35.1858
"FUR-BO-10000711","Hon Metal Bookcases, Gray",70.98,1,56,"2011-08-19",51.8154
"FUR-BO-10000780","O'Sullivan Plantations 2-Door Library in Landvery Oak",200.98,1,99,"2014-11-25",125.2544
"FUR-BO-10001337","O'Sullivan Living Dimensions 2-Shelf Bookcases",120.98,1,196,"2014-06-11",96.3411
"FUR-BO-10001519","O'Sullivan 3-Shelf Heavy-Duty Bookcases",58.14,1,157,"2014-12-10",39.5022
"FUR-BO-10001567","Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",100.98,1,55,"2013-10-11",72.7056
"FUR-BO-10001601","Sauder Mission Library with Doors, Fruitwood Finish",130.98,1,185,"2014-05-07",79.9528
"FUR-BO-10001608","Hon Metal Bookcases, Black",70.98,1,128,"2014-01-14",43.6518
"FUR-BO-10001619","O'Sullivan Cherrywood Estates Traditional Bookcase",84.98,1,163,"2014-01-22",54.9537
"FUR-BO-10001798","Bush Somerset Collection Bookcase",130.98,1,142,"2014-08-26",92.3682
"FUR-BO-10001811","Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",300.98,1,136,"2014-09-24",153.2509
"FUR-BO-10001918","Sauder Forest Hills Library with Doors, Woodland Oak Finish",160.98,1,104,"2014-03-27",109.8689
"FUR-BO-10001972","O'Sullivan 4-Shelf Bookcase in Odessa Pine",120.98,1,141,"2014-12-09",79.8877
"FUR-BO-10002202","Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",240.98,1,143,"2014-11-18",119.269
"FUR-BO-10002206","Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",140.98,1,147,"2014-12-19",114.5463
"FUR-BO-10002213","DMI Eclipse Executive Suite Bookcases",500.98,1,194,"2014-11-26",254.4329
"FUR-BO-10002268","Sauder Barrister Bookcases",80.98,1,177,"2014-04-28",49.9525
"FUR-BO-10002545","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",260.98,1,125,"2014-09-16",162.7374
"FUR-BO-10002598","Hon Metal Bookcases, Putty",70.98,1,145,"2014-12-02",49.2003
"FUR-BO-10002613","Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",280.98,1,137,"2014-07-18",150.4544
"FUR-BO-10002824","Bush Mission Pointe Library",150.98,1,164,"2014-06-04",101.7807
"FUR-BO-10002853","O'Sullivan 5-Shelf Heavy-Duty Bookcases",81.94,1,129,"2013-12-06",49.4371
"FUR-BO-10002916","Rush Hierlooms Collection 1"" Thick Stackable Bookcases",170.98,1,64,"2012-11-27",134.1338
"FUR-BO-10003034","O'Sullivan Elevations Bookcase, Cherry Finish",130.98,1,133,"2014-10-28",90.2307
"FUR-BO-10003159","Sauder Camden County Collection Libraries, Planked Cherry Finish",114.98,1,153,"2014-12-09",93.299
"FUR-BO-10003272","O'Sullivan Living Dimensions 5-Shelf Bookcases",220.98,1,138,"2013-06-22",156.8579
"FUR-BO-10003404","Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",430.98,1,180,"2014-10-13",405.1212
"FUR-BO-10003433","Sauder Cornerstone Collection Library",30.98,1,108,"2014-04-15",23.7661
"FUR-BO-10003441","Bush Westfield Collection Bookcases, Fully Assembled",100.98,1,173,"2014-12-31",63.3072
"FUR-BO-10003450","Bush Westfield Collection Bookcases, Dark Cherry Finish",57.98,1,73,"2013-12-09",49.8628
"FUR-BO-10003546","Hon 4-Shelf Metal Bookcases",100.98,1,189,"2014-12-03",62.2404
"FUR-BO-10003660","Bush Cubix Collection Bookcases, Fully Assembled",220.98,1,117,"2014-12-23",158.5532
"FUR-BO-10003893","Sauder Camden County Collection Library",114.98,1,51,"2013-12-03",70.8492
"FUR-BO-10003894","Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",70.98,1,68,"2014-04-02",38.963
