orderID,shipmentModeID,shippingDate,country,city,state,postalCode,region
CA-2013-152156,2,12/11/2013,United States,Henderson,Kentucky,42420,South
CA-2013-138688,2,17/6/2013,United States,Los Angeles,California,90036,West
US-2012-108966,3,18/10/2012,United States,Fort Lauderdale,Florida,33311,South
CA-2011-115812,3,14/6/2011,United States,Los Angeles,California,90032,West
CA-2014-114412,3,21/4/2014,United States,Concord,North Carolina,28027,South
CA-2013-161389,3,11/12/2013,United States,Seattle,Washington,98103,West
US-2012-118983,3,26/11/2012,United States,Fort Worth,Texas,76106,Central
CA-2011-105893,3,18/11/2011,United States,Madison,Wisconsin,53711,Central
CA-2011-167164,2,15/5/2011,United States,West Jordan,Utah,84084,West
CA-2011-143336,2,1/9/2011,United States,San Francisco,California,94109,West
CA-2013-137330,3,14/12/2013,United States,Fremont,Nebraska,68025,Central
US-2014-156909,2,19/7/2014,United States,Philadelphia,Pennsylvania,19140,East
CA-2012-106320,3,30/9/2012,United States,Orem,Utah,84057,West
CA-2013-121755,2,20/1/2013,United States,Los Angeles,California,90049,West
US-2012-150630,3,21/9/2012,United States,Philadelphia,Pennsylvania,19140,East
CA-2014-107727,2,24/10/2014,United States,Houston,Texas,77095,Central
CA-2013-117590,1,11/12/2013,United States,Richardson,Texas,75080,Central
CA-2012-117415,3,31/12/2012,United States,Houston,Texas,77041,Central
CA-2014-120999,3,16/9/2014,United States,Naperville,Illinois,60540,Central
CA-2013-101343,3,23/7/2013,United States,Los Angeles,California,90049,West
CA-2014-139619,3,24/9/2014,United States,Melbourne,Florida,32935,South
CA-2013-118255,1,14/3/2013,United States,Eagan,Minnesota,55122,Central
CA-2011-146703,2,25/10/2011,United States,Westland,Michigan,48185,Central
CA-2013-169194,3,26/6/2013,United States,Dover,Delaware,19901,East
CA-2012-115742,3,22/4/2012,United States,New Albany,Indiana,47150,Central
CA-2013-105816,3,18/12/2013,United States,New York City,New York,10024,East
CA-2013-111682,1,19/6/2013,United States,Troy,New York,12180,East
CA-2012-135545,3,30/11/2012,United States,Los Angeles,California,90004,West
